X_mm,Z_mm,path_index
-229.507,103.724,2
-229.513,103.706,2
-229.522,103.680,2
-229.532,103.649,2
-229.641,103.326,2
-229.791,102.917,2
-229.811,102.864,2
-229.826,102.823,2
-230.200,102.022,2
-230.204,102.013,2
-230.209,102.005,2
-230.219,101.988,2
-230.424,101.646,2
-230.792,101.218,2
-230.801,101.207,2
-230.806,101.201,2
-230.810,101.197,2
-230.817,101.189,2
-231.193,100.788,2
-231.476,100.435,2
-231.481,100.428,2
-231.484,100.425,2
-231.486,100.421,2
-231.486,100.419,2
-231.490,100.406,2
-231.721,99.600,2
-231.527,98.800,2
-231.397,98.000,2
-231.441,97.200,2
-231.545,96.400,2
-231.670,95.600,2
-231.828,94.800,2
-231.955,94.091,2
-232.016,93.691,2
-232.167,93.200,2
-232.500,92.522,2
-232.500,92.582,2
-232.500,92.644,2
-232.500,92.716,2
-232.500,102.482,2
-232.406,102.590,2
-232.350,102.664,2
-232.330,102.689,2
-232.301,102.708,2
-232.291,102.734,2
-232.250,102.792,2
-231.991,103.198,2
-231.848,103.603,2
-231.846,103.613,2
-231.842,103.621,2
-231.583,104.400,2
-231.334,105.151,2
-231.332,105.155,2
-231.331,105.159,2
-231.329,105.165,2
-231.192,105.576,2
-231.049,106.006,2
-231.046,106.014,2
-231.044,106.022,2
-230.782,106.800,2
-230.530,107.542,2
-230.527,107.548,2
-230.525,107.556,2
-230.521,107.566,2
-230.387,107.962,2
-230.243,108.387,2
-230.238,108.401,2
-230.233,108.414,2
-229.962,109.200,2
-229.711,109.815,2
-229.498,110.215,2
-229.140,110.863,2
-229.108,110.921,2
-229.059,111.010,2
-228.877,111.339,2
-228.741,111.586,2
-228.707,111.649,2
-228.688,111.684,2
-228.661,111.693,2
-228.258,112.321,2
-227.948,112.721,2
-227.705,113.200,2
-227.357,113.849,2
-227.117,114.249,2
-226.838,114.800,2
-226.521,115.394,2
-226.290,115.794,2
-225.974,116.400,2
-225.684,116.942,2
-225.468,117.342,2
-225.086,118.000,2
-224.819,118.427,2
-224.534,118.827,2
-224.134,119.366,2
-223.823,119.766,2
-223.423,120.268,2
-223.098,120.668,2
-222.663,121.216,2
-222.636,121.252,2
-222.616,121.278,2
-222.579,121.343,2
-222.391,121.588,2
-222.210,121.841,2
-222.162,121.891,2
-222.134,121.928,2
-221.706,122.534,2
-221.405,122.934,2
-220.989,123.560,2
-220.971,123.586,2
-220.953,123.606,2
-220.919,123.663,2
-220.745,123.932,2
-220.420,124.376,2
-220.411,124.388,2
-220.407,124.392,2
-220.405,124.396,2
-220.401,124.401,2
-220.058,124.870,2
-219.809,125.159,2
-219.722,125.261,2
-219.692,125.297,2
-219.651,125.341,2
-219.535,125.471,2
-219.314,125.719,2
-219.090,125.934,2
-218.960,126.059,2
-218.913,126.109,2
-218.865,126.154,2
-218.749,126.262,2
-218.502,126.494,2
-218.232,126.749,2
-218.127,126.849,2
-218.087,126.886,2
-218.049,126.922,2
-217.956,127.010,2
-217.679,127.275,2
-217.386,127.558,2
-217.302,127.640,2
-217.270,127.670,2
-217.239,127.700,2
-217.161,127.775,2
-216.865,128.063,2
-216.557,128.363,2
-216.486,128.433,2
-216.459,128.459,2
-216.433,128.485,2
-216.366,128.550,2
-216.055,128.854,2
-215.734,129.169,2
-215.673,129.228,2
-215.650,129.250,2
-215.628,129.272,2
-215.570,129.328,2
-215.247,129.646,2
-214.912,129.974,2
-214.861,130.023,2
-214.842,130.042,2
-214.823,130.060,2
-214.775,130.108,2
-214.439,130.438,2
-214.166,130.758,2
-214.099,130.836,2
-214.071,130.866,2
-214.039,130.905,2
-213.943,131.032,2
-213.704,131.329,2
-213.561,131.553,2
-213.511,131.626,2
-213.480,131.664,2
-213.480,131.702,2
-213.448,132.053,2
-213.410,132.400,2
-213.396,132.470,2
-213.154,133.064,2
-213.136,133.109,2
-213.084,133.148,2
-212.958,133.266,2
-212.695,133.516,2
-212.447,133.713,2
-212.385,133.763,2
-212.353,133.788,2
-212.329,133.803,2
-211.569,134.205,2
-211.515,134.219,2
-210.857,134.173,2
-210.806,134.183,2
-209.981,134.179,2
-209.974,134.181,2
-209.969,134.182,2
-209.590,134.394,2
-209.219,134.627,2
-209.216,134.630,2
-209.212,134.635,2
-209.206,134.638,2
-208.587,135.049,2
-208.187,135.324,2
-207.570,135.737,2
-207.559,135.741,2
-207.549,135.745,2
-207.175,135.988,2
-206.820,136.215,2
-206.815,136.221,2
-206.808,136.229,2
-206.799,136.234,2
-206.227,136.643,2
-205.827,137.059,2
-205.513,137.459,2
-205.385,138.000,2
-205.072,138.601,2
-204.426,139.004,2
-204.417,139.013,2
-204.408,139.017,2
-204.391,139.027,2
-204.039,139.221,2
-203.657,139.409,2
-203.639,139.418,2
-203.622,139.425,2
-202.963,139.412,2
-202.563,139.059,2
-201.975,139.051,2
-201.938,139.056,2
-201.898,139.062,2
-201.544,139.173,2
-201.228,139.318,2
-201.208,139.334,2
-201.191,139.351,2
-201.160,139.365,2
-200.353,139.757,2
-200.302,139.768,2
-200.230,139.788,2
-199.882,139.947,2
-199.608,140.070,2
-199.577,140.097,2
-199.557,140.118,2
-199.513,140.138,2
-198.800,140.432,2
-198.194,140.706,2
-197.794,140.899,2
-197.237,141.312,2
-197.203,141.332,2
-197.183,141.355,2
-197.142,141.407,2
-196.858,141.707,2
-196.761,142.001,2
-196.745,142.038,2
-196.730,142.057,2
-196.712,142.081,2
-196.340,142.606,2
-195.562,142.961,2
-195.515,142.977,2
-195.415,143.010,2
-194.977,143.156,2
-194.800,143.213,2
-194.173,143.134,2
-194.029,143.143,2
-193.934,143.085,2
-193.200,142.809,2
-192.400,142.806,2
-191.594,143.015,2
-191.560,143.031,2
