X_mm,Z_mm,path_index
-206.761,151.327,0
-207.202,151.222,0
-207.250,151.210,0
-207.539,151.137,0
-207.667,151.105,0
-208.014,151.002,0
-208.365,150.882,0
-208.729,150.738,0
-209.172,150.548,0
-209.362,150.465,0
-209.556,150.381,0
-209.634,150.346,0
-209.984,150.194,0
-210.390,150.017,0
-210.821,149.831,0
-211.140,149.688,0
-211.264,149.633,0
-211.448,149.530,0
-211.645,149.426,0
-212.007,149.211,0
-212.366,149.006,0
-212.556,148.887,0
-212.749,148.768,0
-212.828,148.720,0
-213.192,148.515,0
-213.447,148.367,0
-213.873,148.126,0
-214.080,148.005,0
-214.247,147.911,0
-214.469,147.776,0
-214.797,147.577,0
-215.132,147.354,0
-215.276,147.259,0
-215.458,147.159,0
-215.657,147.011,0
-216.055,146.797,0
-216.403,146.575,0
-216.609,146.479,0
-216.769,146.386,0
-216.906,146.323,0
-217.164,146.206,0
-217.597,146.005,0
-218.036,145.808,0
-218.292,145.686,0
-218.446,145.619,0
-218.610,145.551,0
-218.817,145.468,0
-219.247,145.285,0
-219.600,145.146,0
-219.878,145.032,0
-220.218,144.894,0
-220.418,144.809,0
-220.618,144.719,0
-220.940,144.547,0
-221.200,144.396,0
-221.444,144.249,0
-221.714,144.077,0
-221.914,143.948,0
-222.114,143.805,0
-222.391,143.606,0
-222.649,143.405,0
-222.849,143.234,0
-223.049,143.056,0
-223.257,142.856,0
-223.455,142.656,0
-223.655,142.462,0
-223.855,142.259,0
-224.073,142.059,0
-224.280,141.859,0
-224.480,141.679,0
-224.680,141.488,0
-224.885,141.288,0
-225.081,141.088,0
-225.281,140.881,0
-225.481,140.660,0
-225.654,140.460,0
-225.818,140.260,0
-226.018,140.022,0
-226.218,139.770,0
-226.380,139.570,0
-226.536,139.370,0
-226.736,139.117,0
-226.960,138.829,0
-227.118,138.625,0
-227.247,138.460,0
-227.372,138.299,0
-227.604,138.001,0
-227.845,137.691,0
-227.958,137.546,0
-228.082,137.378,0
-228.237,137.176,0
-228.459,136.867,0
-228.659,136.600,0
-228.791,136.400,0
-228.932,136.200,0
-229.159,135.843,0
-229.333,135.569,0
-229.523,135.264,0
-229.582,135.170,0
-229.686,134.995,0
-229.803,134.800,0
-230.022,134.421,0
-230.222,134.085,0
-230.328,133.885,0
-230.445,133.685,0
-230.573,133.429,0
-230.691,133.200,0
-230.862,132.848,0
-231.062,132.428,0
-231.164,132.212,0
-231.231,132.066,0
-231.312,131.875,0
-231.407,131.636,0
-231.578,131.204,0
-231.730,130.800,0
-231.824,130.547,0
-231.940,130.243,0
-232.013,130.043,0
-232.091,129.843,0
-232.218,129.496,0
-232.333,129.200,0
-232.498,128.755,0
-232.652,128.369,0
-232.763,128.061,0
-232.794,127.985,0
-232.867,127.821,0
-232.947,127.628,0
-233.121,127.190,0
-233.282,126.800,0
-233.400,126.504,0
-233.522,126.206,0
-233.603,126.006,0
-233.682,125.806,0
-233.797,125.502,0
-233.905,125.200,0
-234.044,124.800,0
-234.180,124.400,0
-234.266,124.146,0
-234.358,123.875,0
-234.425,123.675,0
-234.493,123.475,0
-234.610,123.128,0
-234.722,122.800,0
-234.857,122.400,0
-234.994,122.000,0
-235.077,121.755,0
-235.165,121.498,0
-235.233,121.298,0
-235.303,121.098,0
-235.424,120.744,0
-235.544,120.400,0
-235.681,120.000,0
-235.820,119.600,0
-235.899,119.349,0
-235.980,119.083,0
-236.016,118.883,0
-236.048,118.683,0
-236.074,118.334,0
-236.094,118.000,0
-236.093,117.600,0
-236.092,117.200,0
-236.091,116.800,0
-236.090,116.400,0
-236.089,116.000,0
-236.082,115.600,0
-236.081,115.200,0
-236.081,114.800,0
-236.080,114.400,0
-236.093,114.000,0
-236.102,113.600,0
-236.131,113.200,0
-236.143,113.057,0
-236.149,112.990,0
-236.165,112.800,0
-236.212,112.400,0
-236.265,112.000,0
-236.318,111.600,0
-236.408,111.200,0
-236.499,110.800,0
-236.613,110.464,0
-236.712,110.170,0
-236.789,109.970,0
-236.866,109.770,0
-236.972,109.505,0
-237.094,109.200,0
-237.260,108.800,0
-237.436,108.368,0
-237.524,108.164,0
-237.595,107.988,0
-237.618,107.939,0
-237.768,107.623,0
-237.951,107.264,0
-238.202,106.762,0
-238.305,106.574,0
-238.399,106.398,0
-238.408,106.382,0
-238.601,106.036,0
-238.781,105.742,0
-239.022,105.343,0
-239.164,105.143,0
-239.308,104.943,0
-239.508,104.690,0
-239.708,104.436,0
-239.868,104.236,0
-240.030,104.036,0
-240.203,103.823,0
-240.383,103.600,0
-240.573,103.365,0
-240.754,103.141,0
-240.904,102.941,0
-241.063,102.741,0
-241.263,102.479,0
-241.463,102.227,0
-241.626,102.027,0
-241.790,101.827,0
-241.990,101.605,0
-242.190,101.379,0
-242.389,101.179,0
-242.589,100.979,0
-242.789,100.793,0
-242.989,100.606,0
-243.208,100.406,0
-243.426,100.206,0
-243.626,100.030,0
